# 豆包实测教训台账 —— 门禁 FAIL 时自动追加, 导出载荷时自动注入提示词。
# 格式: 类型<TAB>证据<TAB>上下文<TAB>日期
# 类型: GLYPH=字形整块 / MOVE=断点两侧错位 / OTHER=编号与空段类
# 删掉某行即不再注入; 清空本文件即回到纯静态规则。
GLYPH	36.	36. Komari, T., Hiei, Y., Saito, Y., Murai, N. & Kumashiro, T. …	2026-09-25
GLYPH	86,51–61(1973).	…smission of action potentials in Biophytum. Bot. Mag. Tokyo 86,51–61(…	2026-09-25
GLYPH	165–174(1996).	…n of transformants free from selection markers. Plant J.10, 165–174(1…	2026-09-25
GLYPH	.10,	…gation of transformants free from selection markers. Plant J.10, 165–…	2026-09-25
GLYPH	7.0	with 50 mM EGTA, and the pH was adjusted to 7.0 using KOH and HCl. Pin…	2026-09-25
GLYPH	1.5	…e into the solution. The isolated pinnae were inserted into 1.5-ml tu…	2026-09-25
GLYPH	113,	…d with Paraﬁlm to the tubes, and placed in an incubator (LU-113, ESPE…	2026-09-25
GLYPH	027255)	… can be found in GenBank with the accession numbers pSB1 (AB027255) a…	2026-09-25
GLYPH	027256).	…Bank with the accession numbers pSB1 (AB027255) and pSB11(AB027256). …	2026-09-25
GLYPH	731322)	… DNA Data Bank of Japan with the accession numbers ELP1B1(LC731322) a…	2026-09-25
GLYPH	=0.60).	…10d–f) were corrected by non-linear adjustment (gamma value =0.60).	2026-09-25
GLYPH	190	…ca S9D, Leica Microsystems) equipped with a camera (Leica MC190 HD, L…	2026-09-25
GLYPH	.10	…s acquired using a Leica S9D microscope (Sup- plementary Fig.10d–f) w…	2026-09-25
GLYPH	(53×39×32	…l bins containing leaves were placed in a plastic container (53×39×32…	2026-09-25
GLYPH	,3–7	… white LED light. When the WT (control) leaves were expanded,3–7 adul…	2026-09-25
GLYPH	2.5	… ~4 cm in length) or 2 caterpillars (Helicoverpa armigera, ~2.5 cm in…	2026-09-25
GLYPH	23365	…ipt. This research was supported by grants from KAKENHI (21J23365 to …	2026-09-25
GLYPH	07411	… was supported by grants from KAKENHI (21J23365 to T.H., 16K07411 and…	2026-09-25
GLYPH	06715	…d by grants from KAKENHI (21J23365 to T.H., 16K07411 and 19K06715 to …	2026-09-25
GLYPH	2+	… plants and performed genotyping. T.H. and T.M. performed Ca2+ imagin…	2026-09-25
GLYPH	/10.1038/	supplementary material available at https://doi.org/10.1038/s41467-022…	2026-09-25
GLYPH	41467	…upplementary material available at https://doi.org/10.1038/s41467-022…	2026-09-25
GLYPH	34106	…ry material available at https://doi.org/10.1038/s41467-022-34106-x.	2026-09-25
GLYPH	ö	…on Nature Communications thanks Simcha Lev- Yadun, Axel Mithöfer and …	2026-09-25
GLYPH	/4.0/.	… this license, visit http://creativecommons.org/ licenses/by/4.0/.	2026-09-25
GLYPH	4.0	…is article is licensed under a Creative Commons Attribution 4.0 Inter…	2026-09-25
GLYPH	3×	…ase was analyzed by t-test using the criterion of a rise to 3× SD abo…	2026-09-25
GLYPH	2+]cyt	…he following statistical analyses. The velocities of the [Ca2+]cyt in…	2026-09-25
GLYPH	50	… by a two-tailed Wilcoxon matched-pairs signed rank test. IC50 for th…	2026-09-25
GLYPH	3+	…airs signed rank test. IC50 for the inhibitory effects of La3+ was es…	2026-09-25
GLYPH	1	…s were represented in the main text and Supplementary Table 1 for the…	2026-09-25
GLYPH	ManufacturingLocationCarbon(kg)Δ(kg)Δ(%)	ManufacturingLocationCarbon(kg)Δ(kg)Δ(%) Taiwan(Baseline)1518.2—— Sout…	2026-09-25
GLYPH	100	…first cut set of ACT3 specifications from more than several 100 cutti…	2026-09-25
GLYPH	25/105(˜25%)	…nd validate the results, we randomly sample and cross-check 25/105(˜2…	2026-09-25
GLYPH	LogicArea-basedDiearea,processnode,yield,GPAFabrication,Packaging	ModelInputDriverKeyParametersEmittedSourceTypes LogicArea-basedDiearea…	2026-09-25
GLYPH	IMECLogicArea-basedDiearea,processnode,yieldFabrication,Packaging	…rea-basedDiearea,processnode,yield,GPAFabrication,Packaging IMECLogic…	2026-09-25
GLYPH	Flash(SSD)Capacity-basedStoragecapacity(GB)Fabrication,Packaging	… DRAMCapacity-basedStoragecapacity(GB)Fabrication,Packaging Flash(SSD…	2026-09-25
GLYPH	$4.80	…er kWh). For carbon emissions credits, ACT3 will default to $4.80 per…	2026-09-25
GLYPH	(a)Bycarbonemissionssourcetype.(b)Bydevicecategorytype.(c)Bydevicesubsystemhierarchy.	…er,2026VincentT.Lee,BilgeAcun,ZacharyLewis,andCarole-JeanWu (a)Bycarb…	2026-09-25
GLYPH	ModelInputDriverKeyParametersEmittedSourceTypes	ModelInputDriverKeyParametersEmittedSourceTypes LogicArea-basedDiearea…	2026-09-25
